STUDY_ID,MIN_SAMPLE,REALM,CLIMATE,HABITAT,PROTECTED_AREA,AREA,BIOME_MAP,TAXA,ORGANISMS,TITLE,AB_BIO,DATA_POINTS,START_YEAR,END_YEAR,CENT_LAT,CENT_LONG,NUMBER_OF_SPECIES,NUMBER_OF_SAMPLES,NUMBER_LAT_LONG,TOTAL,GRAIN_SQ_KM,AREA_SQ_KM,DATE_STUDY_ADDED,ABUNDANCE_TYPE,BIOMASS_TYPE,SAMPLE_DESC_NAME
10,107,Terrestrial,Temperate,Woodland,FALSE,5.91E-06,Temperate broadleaf and mixed forests,Terrestrial plants,woody plants,Windstorm disturbance without patch dynamics twelve years of change in a Minnesota forest,A,3,1984,1996,47.4,-95.12,25,191,1,1406,4.00E-06,5.91E-06,Oct-12,Count,NA,lat_long_treefallid_controlvs.treatment_basevs.crown_size_date
18,3,Terrestrial,Temperate,Sagebrush steppe,FALSE,5.59E-06,Deserts and xeric shrublands,Terrestrial plants,sagebrush steppe plants,Mapped quadrats in sagebrush steppe long-term data for analyzing demographic rates and plant to plant interactions,A,29,1923,1973,44.33,-112.33,98,542,1,8034,1.00E-06,5.59E-06,Oct-12,Count,NA,lat_long_quadrat_year
33,1,Marine,Temperate,Seaweed beds,FALSE,6.26E-06,Temperate shelf and seas ecoregions,Marine plants,phytoplankton,Long-term phytoplankton community dynamics in the Western English Channel,A,18,1992,2009,50.25,-4.217,170,1,1,17841,1.58E-08,6.26E-06,Oct-12,Count,NA,lat_long_location_method_date
39,1,Terrestrial,Temperate,Deciduous forest,FALSE,5.55E-06,Temperate broadleaf and mixed forests,Birds,birds,Bird community dynamics in a temperate deciduous forest Long-term trends at Hubbard Brook,A,45,1970,2015,43.91,-71.75,52,45,1,959,0.05,0.1,Oct-12,Density,NA,lat_long_timeTransect_year
41,1,Terrestrial,Temperate,Woodland,FALSE,5.18E-06,Temperate broadleaf and mixed forests,Birds,birds,Time and space and the variation of species,A,10,1923,1940,39.5,-82.48,56,10,1,418,0.28,5.18E-06,Oct-12,Count,NA,lat_long_census_year
42,1,Terrestrial,Temperate,Woodland,FALSE,6.40E-06,Temperate broadleaf and mixed forests,Birds,birds,Eastern Wood,A,30,1949,1979,51.2965,-0.38352,45,30,1,954,0.16,6.40E-06,Oct-12,Count,NA,lat_long_census_year
44,54,Terrestrial,Temperate,Forest,FALSE,5.59E-06,Temperate coniferous forest,Terrestrial plants,forest plants,Plant succession and biomass dynamics following logging and burning in the Andrews Experimental Forest Watersheds 1 and 3. 1962-Present ,AB,16,1962,1977,44.33,-122.33,158,2219,1,25571,6.13E-07,48.5,Oct-12,Count,Cover,lat_long_plotID_year
45,119,Marine,Tropical,Reef,FALSE,4.19E-06,Tropical seas,Fish,tropical reef fish,MCR LTER Coral Reef Long-term Population and Community Dynamics Fishes,AB,10,2006,2015,-17.5,-149,338,1105,1,47282,2,205,Oct-12,Count,Size,lat_long_site_habitat_transect_swathDate
46,1,Terrestrial,Temperate,Woodland,FALSE,6.45E-06,Temperate broadleaf and mixed forests,Birds,breeding bird pairs,Skokholm Bird Observatory,A,47,1928,1979,51.698,-5.277,29,47,1,528,1,6.45E-06,Oct-12,Count,NA,lat_long_year
47,1,Terrestrial,Temperate,Ponds,FALSE,4.15445,"Temperate grasslands, savannas and shrublands",Birds,ducks,Detection of Density-Dependent Effects in Annual Duck Censuses,A,26,1952,1977,50.845447,-107.446257,13,35,2,392,0,4.154398111,Oct-12,Count,NA,lat_long_location_year
